,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Event Source,Event Souce ID
4404,UEI-IMD-FL-2013-0131,2013-06-14,2013-06-18,5.0,"heavy to very rainfall/flash floods (saraswati and mandakini rivers and its tributaries triggered by very heavy rainfall and lake burst), cloudburst on jun16 &17 jun, massive landslides and avalanches reported at multiple places. ",,"12 out of 13 districts affected badly and worst affected Chamoli, Pithoragarh, Rudraprayag and Uttarkashi districts. ",,,,,"5,000",,,"1,000","i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished. ",IMD,
4405,UEI-IMD-FL-2013-0132,2013-05-24,2013-05-25,2.0,heavy rains ,,South Andaman ,,,,,1,,,,One person died. ,IMD,
4406,UEI-IMD-FL-2013-0133,2013-06-16,2013-06-17,2.0,heavy rains ,,Delhi ,,,,,,1,,,One person swept away in Yamuna river. ,IMD,
4407,UEI-IMD-FL-2013-0134,2013-11-25,2013-11-25,1.0,heavy rains ,,Puducherry ,,,,,3,,,,3 persons died due to wall collapse.         ,IMD,
4408,UEI-IMD-FL-2014-0001,2014-05-02,2014-05-03,2.0,heavy rains ,,"Adilabad, Karimnagar, Khammam, Krishna, Kurnool, Medak, Mahaboobnagar, Nalgonda, Nizamabad, Ranagareddy, Warangal and West Godavari ",,,,,,,,86,86 livestock perished. ,IMD,
4409,UEI-IMD-FL-2014-0002,2014-09-06,2014-09-09,4.0,heavy rains ,,East & West Godavari and Srikakulam ,,,,,4,,,,4 persons died.,IMD,
4410,UEI-IMD-FL-2014-0003,2014-08-14,2014-08-18,5.0,heavy rains ,,East Siang and Lohit ,,,,,1,,,,One person died in a landslide in East Siang. ,IMD,
4411,UEI-IMD-FL-2014-0004,2014-06-22,2014-06-28,7.0,flood (brahmaputra and its tributories),,"Darrang, Kamrup (Metro), Lakhimpur, Sonitpur and Udalguri ",,,,,8,4,,,8 persons died including 4 died in a landslide.,IMD,
4412,UEI-IMD-FL-2014-0005,2014-07-08,2014-07-10,3.0,heavy rains ,,Dhemaji ,,,,,,,,,One person died. ,IMD,
4413,UEI-IMD-FL-2014-0006,2014-07-14,2014-07-19,6.0,heavy rains ,,Sonitpur ,,,,,,,,,One person died.,IMD,
4414,UEI-IMD-FL-2014-0007,2014-07-23,2014-07-30,8.0,flood (singra and soansiri rivers),,"Cachar, Lakhimpur and Sonitpur ",,,,,16,,,,16 persons died out of which 5 others died in a massive landslide in Cachar Manipur border area.,IMD,
4415,UEI-IMD-FL-2014-0008,2014-08-15,2014-08-31,17.0,flood (brahmaputra and its tributaries),,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhubri, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup (Metro), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Sibsagar and Sonitpur ",,,,,,,,,20 persons died.,IMD,
4416,UEI-IMD-FL-2014-0009,2014-09-22,2014-09-30,9.0,flood (brahmaputra and its tributaries),,"Barpeta, Darrang, Dhemaji, Dhubri, Goalpara, Kamrup (Metro), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Sonitpur and Udalguri. ",,,,,45,,,,More than 45 people including 3 died in a landslide in Guwahati.,IMD,
4417,UEI-IMD-FL-2014-0010,2014-08-14,2014-08-27,14.0,flood (gandaki and kosi),,"Darbhanga, East Champaran, Madhubani, Muzaffarpur, Nalanda, Nawada, Saharsa, Supaul and West Champaran ",,,,,19,4,,,"19 persons died including 5 died in wall collapse, 4 swept away and other drowned.",IMD,
4418,UEI-IMD-FL-2014-0011,2014-09-14,2014-09-20,7.0,heavy rains ,,"Banka, Begusarai, Bhagalpur, Gaya, Khagaria and Kishanganj ",,,,,28,,,,28 persons died.,IMD,
4419,UEI-IMD-FL-2014-0012,2014-10-14,2014-10-14,1.0,heavy rains ,,"Madhubani, Muzaffarpur, Sheohar and Sitamarhi ",,,,,1,,,,One person died. ,IMD,
4420,UEI-IMD-FL-2014-0013,2014-07-22,2014-07-23,2.0,heavy rains ,,Bilaspur and Durg ,,,,,3,,,,3 persons died. ,IMD,
4421,UEI-IMD-FL-2014-0014,2014-07-30,2014-07-30,1.0,heavy rains,,Jagadalpur ,,,,,,,,,,IMD,
4422,UEI-IMD-FL-2014-0015,2014-10-13,2014-10-15,3.0,heavy rains ,,"Bastar, Durg, Mahasamund, Mungeli, Jagadalpur, Raipur and Surguja",,,,,6,,,,6 persons died due to tree fell and house collapse incidents. ,IMD,
4423,UEI-IMD-FL-2014-0016,2014-07-15,2014-07-18,4.0,heavy rains,,"Kangra, Kullu, Mandi and Sirmaur and Una (Himachal Pradesh) ",,,,,1,1,,,One person died while other drowned in Sirmaur. ,IMD,
4424,UEI-IMD-FL-2014-0017,2014-07-23,2014-07-30,8.0,heavy rains,,"Kangra, Kullu, Mandi and Shimla ",,,,,3,,,,3 persons died due to landslide in Kangra. ,IMD,
