0,1,2
384,384,10-2005,puducherry
385,385,10-2005,orissa
386,386,10-2005,andhra pradesh
387,387,10-2005,bihar
388,388,10-2005,karnataka
389,389,10-2005,orissa
390,390,10-2005,tamil nadu
391,391,10-2005,tamil nadu
392,392,10-2005,tamil nadu
393,393,10-2005,tamil nadu
394,394,10-2005,tamil nadu
395,395,12-2005,tamil nadu
396,396,07-2005,haryana
397,397,07-2005,himachal pradesh
398,398,07-2005,jammu
399,399,07-2005,punjab
400,400,04-2006,andhra pradesh
401,401,04-2006,telangana
402,402,04-2006,telangana
403,403,04-2006,telangana
404,404,04-2006,telangana
405,405,04-2006,telangana
406,406,04-2006,telangana
407,407,04-2006,telangana
408,408,04-2006,telangana
409,409,05-2006,assam
410,410,05-2006,tripura
411,411,05-2006,kerala
412,412,05-2006,gujarat
413,413,05-2006,maharashtra
414,414,06-2006,uttar pradesh
415,415,07-2006,gujarat
416,416,07-2006,orissa
417,417,07-2006,jammu
418,418,07-2006,andhra pradesh
419,419,07-2006,chhattisgarh
420,420,07-2006,gujarat
421,421,07-2006,karnataka
422,422,07-2006,madhya pradesh
423,423,07-2006,maharashtra
424,424,07-2006,rajasthan
425,425,07-2006,orissa
426,426,08-2006,rajasthan
427,427,08-2006,rajasthan
428,428,08-2006,rajasthan
429,429,08-2006,rajasthan
430,430,08-2006,jammu
431,431,08-2006,uttar pradesh
432,432,10-2006,andhra pradesh
433,433,10-2006,tamil nadu
434,434,08-2006,andhra pradesh
435,435,08-2006,chhattisgarh
436,436,08-2006,orissa
437,437,03-2006,madhya pradesh
438,438,03-2006,maharashtra
439,439,03-2006,rajasthan
440,440,10-2006,madhya pradesh
441,441,06-2007,assam
442,442,06-2007,assam
443,443,06-2007,assam
444,444,06-2007,assam
445,445,06-2007,assam
446,446,07-2007,gujarat
447,447,07-2007,madhya pradesh
448,448,07-2007,rajasthan
449,449,07-2007,gujrat
450,450,07-2007,gujrat
451,451,07-2007,gujrat
452,452,07-2007,gujrat
453,453,07-2007,himachal pradesh
454,454,07-2007,maharashtra
455,455,07-2007,chhattisgarh
456,456,07-2007,chattisgarh
457,457,07-2007,maharashtra
458,458,07-2007,maharashtra
459,459,07-2007,maharashtra
460,460,06-2007,chhattisgarh
461,461,06-2007,chattisgarh
462,462,06-2007,chhattisgarh
463,463,06-2007,chhattisgarh
464,464,06-2007,andhra pradesh
465,465,06-2007,karnataka
466,466,06-2007,kerala
467,467,06-2007,maharashtra
468,468,06-2007,andhra pradesh
469,469,06-2007,andhra pradesh
470,470,06-2007,anantapur
471,471,06-2007,kerala
472,472,06-2007,maharashtra
473,473,06-2007,maharashtra
474,474,06-2007,telangana
475,475,07-2007,tripura
476,476,07-2007,rajasthan
477,477,07-2007,rajasthan
478,478,07-2007,tripura
479,479,07-2007,assam
480,480,07-2007,bihar
481,481,07-2007,uttar pradesh
482,482,07-2007,west bengal
483,483,07-2007,orissa
484,484,08-2007,himachal pradesh
485,485,08-2007,gujarat
486,486,09-2007,west bengal
487,487,09-2007,orissa
488,488,09-2007,orissa
489,489,09-2007,orissa
490,490,09-2007,orissa
491,491,09-2007,orissa
492,492,09-2007,west bengal
493,493,09-2007,andhra pradesh
494,494,09-2007,karnataka
495,495,09-2007,andhra pradesh
496,496,09-2007,andhra pradesh
497,497,09-2007,anantapur
498,498,09-2007,telangana
499,499,09-2007,telangana
500,500,09-2007,telangana
501,501,09-2007,telangana
502,502,10-2007,andhra pradesh
503,503,10-2007,tamil nadu
504,504,08-2007,orissa
505,505,08-2007,orissa
506,506,08-2007,orissa
507,507,08-2007,orissa
